抽せん日,数字1,数字2,数字3,数字4,数字5,ボーナス数字
1999/4/13,1,3,17,20,25,26
1999/4/27,2,11,12,21,30,28
1999/5/11,1,8,10,24,30,28
1999/5/25,11,12,14,20,31,29
1999/6/8,8,9,15,21,25,23
1999/6/22,2,11,16,24,29,4
1999/7/6,3,24,25,26,31,2
1999/7/20,22,24,25,28,30,21
1999/8/3,2,11,12,13,28,15
1999/8/17,8,19,21,23,30,5
1999/8/31,17,18,19,20,30,31
1999/9/14,5,9,13,16,19,21
1999/9/28,6,11,18,25,28,20
1999/10/5,2,21,24,26,29,28
1999/10/12,6,8,17,23,24,22
1999/10/19,2,20,24,26,27,23
1999/10/26,10,18,20,25,27,1
1999/11/2,1,14,16,23,25,27
1999/11/9,2,9,10,22,27,1
1999/11/16,14,20,22,25,30,15
1999/11/23,3,15,22,25,31,6
1999/11/30,4,6,26,28,30,14
1999/12/7,2,13,18,22,26,15
1999/12/14,12,14,19,26,28,15
1999/12/21,2,3,7,18,29,15
1999/12/28,7,8,9,14,15,4
2000/1/4,10,16,20,21,31,14
2000/1/11,2,9,15,22,29,11
2000/1/18,9,12,17,26,31,15
2000/1/25,10,15,17,18,30,16
2000/2/1,14,20,21,24,28,17
2000/2/8,2,11,13,16,24,20
2000/2/15,2,3,8,9,30,23
2000/2/22,4,9,18,28,29,12
2000/2/29,10,11,18,24,26,29
2000/3/7,4,8,15,16,21,25
2000/3/14,6,7,10,16,31,20
2000/3/21,11,16,17,19,31,4
2000/3/28,1,9,15,26,30,11
2000/4/4,4,16,24,25,27,5
2000/4/11,10,16,19,22,26,29
2000/4/18,2,5,19,24,31,28
2000/4/25,3,6,11,16,30,5
2000/5/2,5,18,20,25,27,11
2000/5/9,7,13,19,24,26,11
2000/5/16,2,10,22,23,26,6
2000/5/23,2,6,8,17,29,10
2000/5/30,2,9,11,13,31,18
2000/6/6,10,13,14,23,25,12
2000/6/13,4,5,6,8,10,26
2000/6/20,5,7,15,16,31,2
2000/6/27,4,10,12,26,31,20
2000/7/4,4,13,14,15,17,30
2000/7/11,4,5,15,18,21,16
2000/7/18,4,10,11,18,31,3
2000/7/25,1,3,7,10,27,16
2000/8/1,3,21,23,27,29,13
2000/8/8,1,2,4,10,24,20
2000/8/15,9,15,20,21,22,10
2000/8/22,16,17,22,23,26,30
2000/8/29,9,23,24,29,30,5
2000/9/5,5,10,13,17,29,6
2000/9/12,3,5,6,22,28,1
2000/9/19,5,10,11,12,23,15
2000/9/26,8,9,10,17,23,15
2000/10/3,5,6,12,17,20,1
2000/10/10,4,5,8,14,27,6
2000/10/17,5,6,21,22,24,11
2000/10/24,5,6,9,23,30,2
2000/10/31,1,5,7,17,21,15
2000/11/7,11,17,18,22,30,2
2000/11/14,8,10,24,28,30,12
2000/11/21,4,6,8,26,30,7
2000/11/28,4,6,16,22,28,9
2000/12/5,7,14,16,17,29,1
2000/12/12,6,11,13,16,23,3
2000/12/19,2,3,10,22,26,23
2000/12/26,4,11,19,20,22,28
2001/1/9,2,13,16,26,30,11
2001/1/16,7,10,13,18,22,4
2001/1/23,1,7,10,16,25,18
2001/1/30,1,3,11,27,30,8
2001/2/6,1,6,11,23,26,3
2001/2/13,1,15,29,30,31,16
2001/2/20,9,11,14,20,29,2
2001/2/27,2,8,13,20,24,9
